samples Experiment caste task
SRR14432658 SRX10783797 minor builder
SRR14432659 SRX10783796 minor builder
SRR14432660 SRX10783795 minor builder
SRR14432661 SRX10783794 minor builder
SRR14432662 SRX10783793 minor forager
SRR14432663 SRX10783792 minor builder
SRR14432664 SRX10783791 minor forager
SRR14432665 SRX10783790 minor builder
SRR14432666 SRX10783789 minor forager
SRR14432667 SRX10783788 minor forager
SRR14432668 SRX10783787 minor forager
SRR14432669 SRX10783786 minor forager
SRR14432670 SRX10783785 minor forager
SRR14432671 SRX10783784 minor builder

