target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
RS002051-PA	0	0	4.67809518768121	0.119134827046371	7.72418121007531	6.01370656985005	0.0021260356342174	0.0404532854118886	0.0229658922148093	0.0404532854118886
RS008284-PA	2.11262096998906e-297	1.35915470104246e-293	4.08574201402573	0.110848428282342	5.39349804761773	4.58301534174121	0.0153200435580801	0.0215420785999168	0.0185314236521755	0.0215420785999168
RS012649-PA	4.09672375707738e-174	1.75708481941049e-170	4.98177270589731	0.17709211442368	7.96687403872295	6.84555966218596	0.00205135128009771	0.092033499693052	0.0238923926856541	0.092033499693052
RS000936-PA	3.5728306336269e-148	1.14929029407193e-144	2.93034347003558	0.113035946825717	7.18127854188692	2.37965113975068	0.00161468470290963	0.0367166911214492	0.0211059493350259	0.0367166911214492
RS000363-PA	2.35314461753905e-139	6.05558235877498e-136	3.43332830298955	0.136624056140742	6.07816824730155	3.26070170223305	0.00562771248587661	0.0503706856631694	0.0181897444311471	0.0503706856631694
RS008823-PA	1.46824882039637e-136	3.14865959534002e-133	2.41469573326128	0.0970820577723537	5.23309428041414	1.61709520067305	0.00911056470174235	0.0167599005898153	0.0191642131222015	0.0191642131222015
RS013221-PA	1.83805996114921e-131	3.37861678858671e-128	-2.07511286917196	0.0850558948513175	6.49962719014485	1.18868975127035	0.00253187867957872	0.0143361930348707	0.0191716370672964	0.0191716370672964
RS005023-PA	9.49953604524409e-126	1.52788162867695e-122	-2.18220771118724	0.0914869193622804	8.14208714364036	1.30775137418579	0.000510951130798206	0.010292225256479	0.024598618112403	0.024598618112403
RS000364-PA	8.54527705420887e-122	1.2216897761834e-118	3.64255198410819	0.155209838345798	5.2393134048511	3.67922640575123	0.0164031192026367	0.0558671625553493	0.0191353814870235	0.0558671625553493
RS010778-PA	2.76706267156034e-121	3.56037953949669e-118	-2.9303380293433	0.125129010432076	4.89180483953404	2.38386547604081	0.0175690597676503	0.0294027479874811	0.0211773837456666	0.0294027479874811
RS008334-PA	1.38392673423154e-90	1.61881684448703e-87	-1.79213566003986	0.0887947679768489	7.72050357077035	0.883573913161132	0.000701222324937782	0.00815950482911256	0.0229523101352495	0.0229523101352495
